image,class,risk,crop,xtl,ytl,xbr,ybr
V006_77_0_00_03_03_12_0_c17_20201217_0024_S01_1.jpg,0,0,3,598,198,2867,2756
V006_77_1_06_03_03_12_2_4535e_20201016_25.jpg,1,2,3,1078,1295,2498,2438
V006_77_0_00_04_03_13_0_a04_20201020_0028_S01_1.jpg,0,0,4,1473,1124,2917,2984
V006_77_1_02_01_03_13_2_0823b_20201022_60.jpg,1,2,1,25,222,2102,2329
V006_77_0_00_04_03_13_0_c37_20201208_0095_S01_1.jpg,0,0,4,261,797,3408,4484
V006_77_0_00_04_03_12_0_c25_20201210_0169_S01_1.jpg,0,0,4,302,1124,2805,3712
V006_77_1_06_03_03_12_2_5740t_20201013_8.jpg,1,2,3,0,0,3576,3024
V006_77_1_12_06_03_13_3_6022w_20201130_15.jpg,1,3,6,28,644,3460,2660
V006_77_0_00_10_03_11_0_c37_20201209_0013_S01_1.jpg,0,0,10,233,198,3823,3320
V006_77_0_00_03_03_12_0_c07_20201222_0044_S01_1.JPG,0,0,3,257,940,2957,3577
V006_77_0_00_03_03_12_0_c11_20201216_0031_S01_1.jpg,0,0,3,0,781,3024,3648
V006_77_1_17_10_03_13_1_6309r_20201123_100.jpg,1,1,10,501,289,3024,2714
V006_77_0_00_10_03_12_0_c37_20201223_1043_S01_1.jpg,0,0,10,386,372,3293,3594
V006_77_1_12_06_03_13_2_9763w_20200923_8.jpg,1,2,6,394,262,3494,2782
V006_77_0_00_03_03_12_0_c17_20201209_0096_S01_1.jpg,0,0,3,881,98,3442,2866
V006_77_0_00_10_03_11_0_b09_20201210_0487_S01_1.jpg,0,0,10,1097,112,2648,1491
V006_77_1_08_04_03_13_1_3321w_20201210_162.jpg,1,1,4,717,899,3376,2571
V006_77_1_12_06_03_13_2_4360w_20201130_30.jpg,1,2,6,1108,376,3931,2333
V006_77_0_00_03_03_12_0_c17_20201203_0044_S01_1.jpg,0,0,3,865,133,3233,2907
V006_77_0_00_01_03_13_0_c10_20201202_0533_S01_1.jpg,0,0,1,324,584,2904,2862
V006_77_1_02_01_03_13_3_6835q_20201105_73.jpg,1,3,1,131,213,509,945
V006_77_0_00_10_03_11_0_c16_20201222_0004_S01_1.JPG,0,0,10,146,1211,2365,3648
V006_77_0_00_10_03_12_0_b08_20201222_0934_S01_1.jpg,0,0,10,615,878,2096,2443
V006_77_1_12_06_03_13_1_9763w_20200923_1.jpg,1,1,6,974,277,4032,3024
V006_77_0_00_01_03_13_0_c04_20201209_0518_S01_1.JPG,0,0,1,534,178,2596,2750
V006_77_1_12_06_03_13_3_9763w_20201130_19.jpg,1,3,6,771,862,3301,2552
V006_77_0_00_03_03_12_0_c07_20201216_0058_S01_1.JPG,0,0,3,677,1146,2753,3326
V006_77_1_12_06_03_13_2_4360w_20201123_2.jpg,1,2,6,578,230,3828,2760
V006_77_1_02_01_03_13_2_0823b_20201019_46.jpg,1,2,1,73,124,582,896
V006_77_1_08_04_03_13_1_6135w_20201120_15.jpg,1,1,4,1033,1015,2709,1775
V006_77_0_00_03_03_12_0_c17_20201209_0015_S01_1.jpg,0,0,3,680,73,3404,2894
V006_77_1_08_04_03_13_3_3321w_20201204_101.jpg,1,3,4,210,264,1533,1313
V006_77_1_06_03_03_12_2_3912e_20201013_1.jpg,1,2,3,2002,980,2914,2052
V006_77_1_06_03_03_12_3_9316y_20201126_43.jpg,1,3,3,833,233,3561,2768
V006_77_0_00_03_03_12_0_c14_20201209_0014_S01_1.jpg,0,0,3,1073,68,2716,1693
V006_77_0_00_01_03_13_0_c05_20201204_0486_S01_1.JPG,0,0,1,324,393,2557,3766
V006_77_0_00_06_03_13_0_c38_20201207_0039_S01_1.JPG,0,0,6,788,181,2199,2707
V006_77_0_00_04_03_13_0_c18_20201207_0186_S01_1.JPG,0,0,4,293,1010,2724,3520
V006_77_0_00_06_03_13_0_c17_20210111_0065_S01_1.jpg,0,0,6,317,302,2141,2824
V006_77_0_00_01_03_13_0_c05_20201125_0640_S01_1.JPG,0,0,1,679,759,2566,3500
V006_77_1_08_04_03_12_3_6135w_20201116_2.jpg,1,3,4,342,452,660,844
V006_77_1_06_03_03_12_3_1048y_20201130_42.jpg,1,3,3,1254,29,3611,2262
V006_77_0_00_01_03_13_0_c04_20201210_0390_S01_1.JPG,0,0,1,609,431,2581,2875
V006_77_0_00_10_03_11_0_c36_20201210_0399_S01_1.jpg,0,0,10,507,1182,2754,3458
V006_77_1_06_03_03_11_2_9248q_20201020_15.jpg,1,2,3,373,0,3348,3023
V006_77_1_17_10_03_13_3_9928r_20201012_20.jpg,1,3,10,350,556,3000,2599
V006_77_0_00_03_03_12_0_c15_20201214_0005_S01_1.jpg,0,0,3,0,758,1386,2462
V006_77_1_08_04_03_12_3_2653w_20201116_2.jpg,1,3,4,157,572,597,945
V006_77_1_06_03_03_12_3_4005e_20201124_38.jpg,1,3,3,531,16,3855,3024
V006_77_1_06_03_03_12_3_4580t_20201112_61.jpg,1,3,3,596,0,4012,3016
V006_77_1_08_04_03_13_3_3108w_20201204_84.jpg,1,3,4,890,319,3727,1674
V006_77_1_12_06_03_13_1_7188w_20201110_8.jpg,1,1,6,0,0,3863,3007
V006_77_0_00_04_03_13_0_b06_20201111_0205_S01_1.jpg,0,0,4,1193,257,3115,1983
V006_77_1_06_03_03_12_3_5360t_20201117_31.jpg,1,3,3,39,48,3972,2982
V006_77_1_12_06_03_13_2_9763w_20200917_10.jpg,1,2,6,458,0,4032,3024
V006_77_0_00_03_03_12_0_c16_20201209_0019_S01_1.JPG,0,0,3,5,720,2979,3760
V006_77_0_00_06_03_13_0_c15_20210111_0139_S01_1.jpg,0,0,6,182,1495,1424,2794
V006_77_1_08_04_03_13_2_2653w_20201210_138.jpg,1,2,4,695,423,2064,1370
V006_77_0_00_06_03_13_0_c17_20210107_0017_S01_1.jpg,0,0,6,217,301,2593,3548
V006_77_1_12_06_03_13_2_0254w_20201019_4.jpg,1,2,6,0,0,4007,2540
V006_77_0_00_01_03_13_0_c09_20201204_0526_S01_1.jpg,0,0,1,451,843,2826,3438
V006_77_1_12_06_03_13_2_4360w_20201130_7.jpg,1,2,6,560,81,3246,2499
V006_77_0_00_03_03_12_0_c11_20201216_0015_S01_1.jpg,0,0,3,459,715,2575,3225
V006_77_1_06_03_03_12_2_2472q_20201007_6.jpg,1,2,3,2379,1094,2675,1401
V006_77_1_17_10_03_13_3_6834r_20201123_88.JPG,1,3,10,1600,0,3681,3024
V006_77_0_00_03_03_12_0_c16_20201217_0042_S01_1.JPG,0,0,3,38,619,3007,3712
V006_77_0_00_06_03_13_0_c15_20210107_0118_S01_1.jpg,0,0,6,60,1111,1754,3306
V006_77_1_06_03_03_12_3_0325w_20201120_78.jpg,1,3,3,947,456,3574,2900
V006_77_1_08_04_03_13_1_3248b_20201123_22.jpg,1,1,4,418,0,3228,2618
V006_77_0_00_01_03_13_0_c10_20201204_0163_S01_1.jpg,0,0,1,1154,57,2825,2549
V006_77_0_00_03_03_12_0_c17_20201214_0062_S01_1.jpg,0,0,3,594,64,3158,2907
V006_77_0_00_10_03_11_0_c11_20201228_0105_S01_1.jpg,0,0,10,698,1107,2740,3110
V006_77_1_12_06_03_13_3_6022w_20201005_5.jpg,1,3,6,0,0,3372,2736
V006_77_0_00_01_03_13_0_c09_20201209_0024_S01_1.jpg,0,0,1,655,609,2351,3485
V006_77_1_17_10_03_13_1_4832r_20201109_62.jpg,1,1,10,1279,917,2559,2167
V006_77_1_08_04_03_13_2_6135w_20201204_96.jpg,1,2,4,274,417,1600,1120
V006_77_1_12_06_03_13_1_4360w_20201130_1.jpg,1,1,6,53,0,3725,2728
V006_77_1_02_01_03_13_1_6835q_20201119_117.jpg,1,1,1,134,157,561,738
V006_77_0_00_03_03_12_0_c14_20201217_0022_S01_1.jpg,0,0,3,74,945,1816,2638
V006_77_0_00_04_03_12_0_c24_20201209_0051_S01_1.JPG,0,0,4,78,125,2738,2916
V006_77_0_00_04_03_13_0_c18_20201207_0057_S01_1.JPG,0,0,4,310,897,2512,2881
V006_77_1_08_04_03_13_1_3108w_20201207_107.jpg,1,1,4,580,696,2632,2040
V006_77_0_00_10_03_12_0_b09_20201222_0853_S01_1.jpg,0,0,10,426,1078,1393,2022
V006_77_1_12_06_03_13_1_4360w_20201019_5.jpg,1,1,6,813,640,3629,2372
V006_77_0_00_04_03_12_0_a03_20201022_0381_S01_1.JPG,0,0,4,460,183,3431,2778
V006_77_0_00_04_03_13_0_c17_20201102_0029_S01_1.jpg,0,0,4,1438,1036,3106,2856
V006_77_0_00_03_03_12_0_c11_20201216_0094_S01_1.jpg,0,0,3,127,817,2700,3436
V006_77_1_06_03_03_12_3_1048y_20201124_38.jpg,1,3,3,15,44,3970,2775
V006_77_1_17_10_03_13_1_4832r_20201012_23.JPG,1,1,10,1409,488,3287,3024
V006_77_1_02_01_03_13_1_0755t_20201112_89.jpg,1,1,1,335,186,2504,2628
V006_77_0_00_10_03_12_0_c34_20201222_0151_S01_1.JPG,0,0,10,380,1075,2599,3068
V006_77_1_12_06_03_13_2_9763w_20201130_12.jpg,1,2,6,941,77,4032,2537
V006_77_0_00_03_03_12_0_c07_20201222_0028_S01_1.JPG,0,0,3,252,1004,2724,3723
V006_77_1_08_04_03_13_1_3248b_20201204_102.jpg,1,1,4,384,898,3194,2688
V006_77_0_00_01_03_13_0_c09_20201202_0259_S01_1.jpg,0,0,1,718,822,2177,3532
V006_77_1_08_04_03_12_1_3742w_20201203_69.jpg,1,1,4,923,7,3395,1771
V006_77_1_08_04_03_13_1_1886w_20201207_123.jpg,1,1,4,727,949,3036,3024
V006_77_1_06_03_03_12_3_5360t_20201117_29.jpg,1,3,3,992,635,3112,2628
V006_77_1_08_04_03_13_2_2653w_20201210_141.jpg,1,2,4,948,44,3020,2732
V006_77_0_00_10_03_12_0_c34_20201222_0951_S01_1.JPG,0,0,10,354,465,2714,3106
V006_77_0_00_03_03_12_0_c17_20201125_0044_S01_1.jpg,0,0,3,628,62,3254,2909
V006_77_0_00_04_03_12_0_c25_20201208_0165_S01_1.jpg,0,0,4,301,913,2898,3783
V006_77_1_02_01_03_13_2_6835q_20201119_119.jpg,1,2,1,150,322,595,762
V006_77_0_00_01_03_13_0_c10_20201210_0536_S01_1.jpg,0,0,1,780,151,2737,2991
V006_77_1_08_04_03_13_1_1886w_20201202_57.jpg,1,1,4,468,245,2007,1437
V006_77_0_00_04_03_13_0_c18_20201207_0138_S01_1.JPG,0,0,4,191,784,2671,3305
V006_77_1_08_04_03_12_2_3742w_20201118_11.jpg,1,2,4,757,600,1457,1236
V006_77_1_02_01_03_13_1_0755t_20201002_16.jpg,1,1,1,105,11,2397,3015
V006_77_1_08_04_03_13_2_3321w_20201210_140.jpg,1,2,4,645,95,3320,1908
V006_77_0_00_03_03_12_0_c11_20201216_0023_S01_1.jpg,0,0,3,939,573,3178,2564
V006_77_0_00_01_03_13_0_c10_20201209_0524_S01_1.jpg,0,0,1,452,466,2517,2781
V006_77_1_08_04_03_13_1_3108w_20201203_66.jpg,1,1,4,534,334,1942,1414
V006_77_1_02_01_03_13_2_0823b_20201019_53.jpg,1,2,1,168,110,598,733
V006_77_1_17_10_03_13_3_9928r_20201116_79.JPG,1,3,10,1079,956,3356,2549
V006_77_1_06_03_03_11_1_5360t_20200924_3.jpg,1,1,3,2438,1034,2787,1390
V006_77_0_00_01_03_13_0_c10_20201210_0553_S01_1.jpg,0,0,1,551,770,2558,3357
V006_77_0_00_04_03_13_0_c37_20201208_0056_S01_1.jpg,0,0,4,98,586,3305,4475
V006_77_1_06_03_03_12_1_4131q_20200918_1.jpg,1,1,3,1722,1423,2859,2643
V006_77_0_00_01_03_13_0_c04_20201202_0251_S01_1.JPG,0,0,1,282,662,2630,3466
V006_77_0_00_04_03_13_0_c36_20201208_0580_S01_1.jpg,0,0,4,241,792,2722,3224
V006_77_1_06_03_03_12_2_2472q_20201103_20.jpg,1,2,3,904,936,2836,3016
V006_77_0_00_04_03_12_0_c24_20201211_0172_S01_1.JPG,0,0,4,251,341,2802,2920
V006_77_1_02_01_03_13_2_6835q_20201119_106.jpg,1,2,1,52,394,444,929
V006_77_1_06_03_03_12_3_7852w_20201130_67.jpg,1,3,3,1096,111,3786,2320
V006_77_1_06_03_03_12_3_4535e_20201116_48.jpg,1,3,3,4,348,3480,3024
V006_77_0_00_03_03_12_0_c15_20201125_0015_S01_1.jpg,0,0,3,172,650,2672,3323
V006_77_1_12_06_03_13_1_9763w_20201116_2.jpg,1,1,6,0,0,3984,3024
V006_77_1_06_03_03_12_3_4535e_20201120_58.jpg,1,3,3,748,140,3744,2952
V006_77_0_00_04_03_13_0_c36_20201208_0070_S01_1.jpg,0,0,4,422,1101,2762,3476
V006_77_1_06_03_03_12_3_3704b_20201119_72.jpg,1,3,3,1260,108,3660,2304
V006_77_0_00_10_03_12_0_c35_20201222_0159_S01_1.JPG,0,0,10,193,728,2735,3446
V006_77_0_00_04_03_13_0_c24_20201210_0252_S01_1.JPG,0,0,4,599,645,2733,2808
V006_77_1_02_01_03_13_3_6835q_20201126_174.jpg,1,3,1,95,178,488,773
V006_77_0_00_01_03_13_0_c09_20201202_0170_S01_1.jpg,0,0,1,489,1164,2771,2957
V006_77_1_12_06_03_13_1_7188w_20201116_7.jpg,1,1,6,644,152,3496,3024
V006_77_0_00_06_03_13_0_c41_20201204_0189_S01_1.jpg,0,0,6,1577,390,3483,2444
V006_77_1_02_01_03_13_3_6835q_20201126_147.jpg,1,3,1,147,3,911,867
V006_77_1_02_01_03_13_1_7497r_20201112_87.jpg,1,1,1,99,664,2292,2095
V006_77_0_00_03_03_12_0_c14_20201125_0008_S01_1.jpg,0,0,3,189,838,2832,3591
V006_77_1_06_03_03_12_3_5740t_20201118_35.jpg,1,3,3,54,32,4002,2994
V006_77_1_06_03_03_12_3_4005e_20201125_43.jpg,1,3,3,604,76,3520,2732
V006_77_0_00_06_03_13_0_c17_20210107_0144_S01_1.jpg,0,0,6,287,463,2600,3700
V006_77_1_06_03_03_12_1_7852w_20201020_24.jpg,1,1,3,859,380,3607,3020
V006_77_1_12_06_03_13_2_6022w_20201123_6.jpg,1,2,6,328,336,3992,2348
V006_77_1_06_03_03_12_2_3704b_20201016_24.jpg,1,2,3,864,376,3328,2668
V006_77_1_12_06_03_13_1_9763w_20201123_4.jpg,1,1,6,494,87,3594,2872
V006_77_0_00_03_03_12_0_c07_20201221_0014_S01_1.JPG,0,0,3,320,533,2569,2703
V006_77_1_08_04_03_13_2_1886w_20201203_67.jpg,1,2,4,2234,200,3699,1908
V006_77_0_00_10_03_11_0_c37_20201209_0327_S01_1.jpg,0,0,10,665,115,3928,3200
V006_77_1_02_01_03_13_2_6835q_20201002_11.jpg,1,2,1,101,106,601,960
V006_77_1_02_01_03_13_2_6835q_20201016_37.jpg,1,2,1,114,74,567,725
V006_77_0_00_03_03_12_0_c16_20201209_0002_S01_1.JPG,0,0,3,10,948,3017,3981
V006_77_1_12_06_03_13_1_0254w_20200923_8.jpg,1,1,6,433,186,3599,2663
V006_77_0_00_06_03_12_0_c17_20201223_0037_S01_1.jpg,0,0,6,451,347,3235,2453
V006_77_1_12_06_03_13_1_0254w_20201019_3.jpg,1,1,6,0,230,2942,2815
V006_77_1_06_03_03_12_2_1048y_20201006_6.jpg,1,2,3,715,162,3486,2581
V006_77_1_06_03_03_12_3_8083y_20201113_29.jpg,1,3,3,918,506,3138,2530
V006_77_1_06_03_03_12_3_4580t_20201119_67.jpg,1,3,3,664,136,3272,2920
V006_77_0_00_06_03_13_0_c15_20210108_0195_S01_1.jpg,0,0,6,132,113,1816,2944
V006_77_0_00_10_03_11_0_c15_20201210_0002_S01_1.jpg,0,0,10,50,1000,1816,2857
V006_77_1_06_03_03_12_3_3704b_20201119_75.jpg,1,3,3,876,156,3628,2828
V006_77_0_00_03_03_12_0_c16_20201222_0068_S01_1.JPG,0,0,3,56,888,2846,3885
V006_77_1_02_01_03_13_3_6835q_20201019_48.jpg,1,3,1,145,166,534,821
V006_77_0_00_10_03_12_0_b09_20201222_0971_S01_1.jpg,0,0,10,1468,287,3007,1542
V006_77_0_00_10_03_11_0_c37_20201209_0116_S01_1.jpg,0,0,10,1092,322,4431,3363
V006_77_0_00_06_03_12_0_c22_20201130_0026_S01_1.jpg,0,0,6,171,734,3024,3304
V006_77_1_06_03_03_12_2_4005e_20201103_20.jpg,1,2,3,332,328,2806,2887
V006_77_1_12_06_03_13_1_1962b_20200917_10.jpg,1,1,6,860,518,3493,2898
V006_77_0_00_06_03_13_0_c14_20210106_0124_S01_1.jpg,0,0,6,226,1152,1627,3214
V006_77_1_08_04_03_13_1_1886w_20201202_60.jpg,1,1,4,619,759,1783,1527
V006_77_0_00_04_03_12_0_b02_20201030_0161_S01_1.jpg,0,0,4,1212,277,2041,1197
V006_77_0_00_04_03_13_0_c15_20201210_0015_S01_1.jpg,0,0,4,0,1632,1127,2656
V006_77_0_00_10_03_12_0_c36_20201224_0516_S01_1.jpg,0,0,10,341,1107,2845,3411
V006_77_1_06_03_03_12_1_3704b_20201023_32.jpg,1,1,3,1560,784,2612,2040
V006_77_1_12_06_03_13_2_6022w_20201130_6.jpg,1,2,6,880,536,4032,2700
V006_77_0_00_06_03_12_0_c23_20201120_0002_S01_1.jpg,0,0,6,701,486,3291,2791
V006_77_1_08_04_03_12_2_3742w_20201202_51.jpg,1,2,4,1042,74,2829,2507
V006_77_1_06_03_03_12_2_3912e_20201013_3.jpg,1,2,3,2966,1323,3607,2019
V006_77_1_06_03_03_12_3_4535e_20201130_71.jpg,1,3,3,1372,8,3956,2616
V006_77_0_00_04_03_13_0_c36_20201208_0063_S01_1.jpg,0,0,4,122,846,2607,3491
V006_77_1_08_04_03_13_1_3321w_20201202_55.jpg,1,1,4,874,0,4032,1908
V006_77_1_02_01_03_13_3_6835q_20201112_102.jpg,1,3,1,54,10,666,770
V006_77_0_00_04_03_13_0_c18_20201208_0171_S01_1.JPG,0,0,4,284,580,2674,2910
V006_77_1_12_06_03_13_1_8206w_20201130_18.jpg,1,1,6,144,53,3999,2818
V006_77_1_06_03_03_12_3_5360t_20201117_30.jpg,1,3,3,179,582,1646,1929
V006_77_0_00_01_03_13_0_c10_20201202_0120_S01_1.jpg,0,0,1,354,366,2638,3638
V006_77_0_00_03_03_12_0_c07_20201216_0107_S01_1.JPG,0,0,3,315,964,2829,3190
V006_77_0_00_10_03_12_0_b09_20201222_0721_S01_1.jpg,0,0,10,0,1001,1601,2754
V006_77_0_00_01_03_13_0_c05_20201126_0431_S01_1.JPG,0,0,1,426,355,2516,3595
V006_77_0_00_04_03_13_0_c24_20201210_0222_S01_1.JPG,0,0,4,281,390,2288,2680
V006_77_1_02_01_03_13_2_6835q_20201126_149.jpg,1,2,1,201,221,773,929
V006_77_0_00_10_03_12_0_b09_20201222_0064_S01_1.jpg,0,0,10,1507,332,2744,1582
V006_77_1_08_04_03_13_2_3321w_20201204_102.jpg,1,2,4,754,422,3002,2354
V006_77_0_00_03_03_12_0_c17_20201214_0098_S01_1.jpg,0,0,3,544,172,3064,2840
V006_77_1_17_10_03_13_2_6309r_20201116_87.jpg,1,2,10,291,689,2581,2769
V006_77_1_12_06_03_13_2_9763w_20201103_6.jpg,1,2,6,934,417,3674,2707
V006_77_1_12_06_03_13_2_6022w_20201123_3.jpg,1,2,6,1264,444,3840,2300
V006_77_0_00_06_03_13_0_c17_20210104_0053_S01_1.jpg,0,0,6,548,1083,3215,2908
V006_77_1_06_03_03_12_3_3704b_20201126_97.jpg,1,3,3,15,12,4020,3012
V006_77_1_08_04_03_13_1_6135w_20201209_135.jpg,1,1,4,1330,870,2855,2592
V006_77_0_00_06_03_13_0_c12_20201028_0073_S01_1.JPG,0,0,6,313,452,3391,2922
V006_77_1_02_01_03_13_1_7497r_20201112_82.jpg,1,1,1,1107,266,2838,2123
V006_77_0_00_10_03_12_0_c36_20201224_0387_S01_1.jpg,0,0,10,220,906,2682,3240
V006_77_1_08_04_03_13_1_3321w_20201210_143.jpg,1,1,4,888,812,3552,3012
V006_77_1_06_03_03_12_3_5740t_20201113_31.jpg,1,3,3,684,0,4032,3024
V006_77_1_02_01_03_13_2_6835q_20201105_77.jpg,1,2,1,175,122,609,730
V006_77_1_06_03_03_12_3_1048y_20201116_31.jpg,1,3,3,972,361,2819,2101
V006_77_1_06_03_03_11_2_9702t_20200918_2.jpg,1,2,3,1056,191,3896,2504
V006_77_1_06_03_03_12_3_9248q_20201020_14.jpg,1,3,3,646,82,3391,2587
V006_77_1_08_04_03_13_2_3108w_20201127_39.jpg,1,2,4,636,88,1720,1278
V006_77_0_00_10_03_12_0_c36_20201224_0832_S01_1.jpg,0,0,10,320,1027,2701,3475
V006_77_0_00_03_03_12_0_c16_20201222_0015_S01_1.JPG,0,0,3,195,689,3024,4032
V006_77_0_00_01_03_13_0_c04_20201204_0486_S01_1.JPG,0,0,1,604,112,2324,2856
V006_77_1_02_01_03_13_1_0755t_20201105_77.jpg,1,1,1,87,75,744,958
V006_77_0_00_10_03_12_0_b09_20201222_0994_S01_1.jpg,0,0,10,2013,502,2910,1614
V006_77_1_08_04_03_13_1_2653w_20201203_63.jpg,1,1,4,1075,0,3104,1908
V006_77_1_06_03_03_12_2_4580t_20200918_2.jpg,1,2,3,1440,518,2823,1938
V006_77_0_00_06_03_13_0_c39_20201130_0099_S01_1.jpg,0,0,6,394,1564,1818,2973
V006_77_1_08_04_03_12_2_3742w_20201209_135.jpg,1,2,4,577,0,1420,1590
V006_77_0_00_03_03_11_0_c17_20201119_0024_S01_1.jpg,0,0,3,190,820,2845,3280
V006_77_0_00_10_03_12_0_c34_20201222_0634_S01_1.JPG,0,0,10,912,279,3234,2498
V006_77_0_00_03_03_12_0_c16_20201209_0015_S01_1.JPG,0,0,3,5,932,3004,3852
V006_77_1_06_03_03_12_3_5424w_20201130_39.jpg,1,3,3,743,6,3593,2313
V006_77_0_00_01_03_13_0_c05_20201126_0620_S01_1.JPG,0,0,1,672,230,2722,3476
V006_77_0_00_01_03_13_0_c05_20201210_0549_S01_1.JPG,0,0,1,165,96,2478,3262
V006_77_1_08_04_03_13_3_3321w_20201207_107.jpg,1,3,4,1660,960,2760,2412
V006_77_1_02_01_03_13_3_6835q_20201105_75.jpg,1,3,1,134,114,626,880
V006_77_1_08_04_03_13_2_3108w_20201203_64.jpg,1,2,4,576,0,2736,3024
V006_77_0_00_10_03_12_0_c35_20201222_0004_S01_1.JPG,0,0,10,529,576,2781,3182
V006_77_1_08_04_03_13_1_3321w_20201127_39.jpg,1,1,4,1511,657,2037,1625
V006_77_1_02_01_03_13_1_0755t_20201022_58.jpg,1,1,1,273,739,2200,2286
V006_77_1_12_06_03_13_1_6022w_20200917_7.jpg,1,1,6,320,240,4032,2816
V006_77_1_06_03_03_12_3_7852w_20201124_58.jpg,1,3,3,33,44,4639,2314
V006_77_1_06_03_03_12_1_9248q_20200918_3.jpg,1,1,3,0,0,3922,3024
V006_77_0_00_01_03_13_0_c04_20201209_0574_S01_1.JPG,0,0,1,393,288,2752,2369
V006_77_1_12_06_03_13_3_7188w_20200917_4.jpg,1,3,6,4,0,3781,2981
V006_77_0_00_10_03_12_0_c36_20201224_0912_S01_1.jpg,0,0,10,1209,324,3616,2486
V006_77_0_00_06_03_13_0_c14_20210107_0076_S01_1.jpg,0,0,6,171,1116,1640,3109
V006_77_1_08_04_03_13_1_6135w_20201202_58.jpg,1,1,4,1267,146,2848,1748
V006_77_0_00_06_03_13_0_c42_20201028_0154_S01_1.jpg,0,0,6,482,323,3672,2847
V006_77_0_00_06_03_12_0_c14_20201223_0034_S01_1.jpg,0,0,6,366,1878,1621,3111
V006_77_1_06_03_03_12_1_5360t_20201014_9.jpg,1,1,3,1201,550,2413,1962
V006_77_1_12_06_03_13_1_7188w_20201027_5.jpg,1,1,6,4,3,3912,3024
V006_77_1_02_01_03_13_1_0755t_20201012_30.jpg,1,1,1,142,0,961,959
V006_77_0_00_03_03_12_0_c08_20201216_0025_S01_1.jpg,0,0,3,17,1088,2191,2953
V006_77_1_06_03_03_12_1_2599r_20200917_1.jpg,1,1,3,2298,267,3068,1036
V006_77_1_06_03_03_12_3_5360t_20201106_23.jpg,1,3,3,1026,362,3532,2582
V006_77_1_06_03_03_12_3_4535e_20201130_74.jpg,1,3,3,782,0,4270,2320
V006_77_1_12_06_03_13_3_9763w_20201123_5.jpg,1,3,6,0,182,3654,2552
V006_77_0_00_01_03_13_0_c04_20201209_0056_S01_1.JPG,0,0,1,342,209,2587,2423
V006_77_0_00_01_03_13_0_c10_20201210_0014_S01_1.jpg,0,0,1,462,34,2549,3458
V006_77_1_12_06_03_13_2_7188w_20201027_1.jpg,1,2,6,0,99,4032,3022
V006_77_0_00_01_03_13_0_c04_20201210_0606_S01_1.JPG,0,0,1,526,295,2467,2766
